cercle,region,total_schools,closed_schools,pct_closed,total_conflict_events,fatalities,population,events_per_100k,fatalities_per_100k,EDI_score,risk_tier,data_coverage
Ménaka,Gao,10,8,80.0,289,1039,67119,430.58,1548.0,0.557,Critical,Full
Tombouctou,Tombouctou,11,11,100.0,186,203,156936,118.52,129.35,0.532,Critical,Full
Bourem,Gao,4,4,100.0,89,296,143418,62.06,206.39,0.522,Critical,Partial
Bankass,Mopti,30,29,96.67,313,1170,326346,95.91,358.52,0.519,Critical,Full
Ansongo,Gao,5,4,80.0,508,1905,162637,312.35,1171.32,0.516,Critical,Partial
Djenné,Mopti,33,31,93.94,274,1040,256877,106.67,404.86,0.509,High,Full
Youwarou,Mopti,7,7,100.0,37,97,133759,27.66,72.52,0.509,High,Partial
Diré,Tombouctou,9,9,100.0,35,56,135161,25.9,41.43,0.508,High,Partial
Yorosso,Sikasso,7,7,100.0,65,38,260812,24.92,14.57,0.506,High,Partial
Banamba,Koulikoro,2,2,100.0,28,139,235421,11.89,59.04,0.505,Data-Limited,Limited
Koutiala,Sikasso,28,28,100.0,52,278,715430,7.27,38.86,0.503,High,Full
Bafoulabe,Kayes,2,2,100.0,16,5,287979,5.56,1.74,0.501,Data-Limited,Limited
Bla,Ségou,5,5,100.0,13,2,349644,3.72,0.57,0.501,High,Partial
Kayes,Kayes,1,1,100.0,16,20,632503,2.53,3.16,0.501,Data-Limited,Limited
Sikasso,Sikasso,6,6,100.0,39,38,905895,4.31,4.19,0.501,High,Partial
Abeibara,Kidal,0,0,0,136,868,12690,1071.71,6840.03,0.5,High,Conflict-only
Koro,Mopti,191,180,94.24,262,563,446902,58.63,125.98,0.489,High,Full
Koulikoro,Koulikoro,42,41,97.62,9,4,259586,3.47,1.54,0.489,High,Full
Kita,Kayes,10,9,90.0,25,35,533110,4.69,6.57,0.451,High,Full
Douentza,Mopti,14,11,78.57,466,1520,303974,153.3,500.04,0.447,High,Full
San,Ségou,494,436,88.26,33,58,411190,8.03,14.11,0.444,High,Full
Kadiolo,Sikasso,11,9,81.82,2,0,300013,0.67,0.0,0.409,High,Full
Bandiagara,Mopti,3,2,66.67,591,1526,386346,152.97,394.98,0.383,Medium,Partial
Nara,Koulikoro,1735,1034,59.6,162,629,298156,54.33,210.96,0.318,Medium,Full
Gao,Gao,1813,947,52.23,442,986,295236,149.71,333.97,0.308,Medium,Full
Kati,Koulikoro,10,6,60.0,27,22,1179233,2.29,1.87,0.301,Medium,Full
Mopti,Mopti,2,1,50.0,336,761,454689,73.9,167.37,0.273,Data-Limited,Limited
Tessalit,Kidal,0,0,0,111,118,19665,564.45,600.05,0.154,Low,Conflict-only
Kidal,Kidal,0,0,0,182,248,41248,441.23,601.24,0.125,Low,Conflict-only
Niono,Ségou,0,0,0,510,1360,449717,113.4,302.41,0.038,Low,Conflict-only
Gourma-Rharous,Tombouctou,0,0,0,153,422,136852,111.8,308.36,0.037,Low,Conflict-only
Macina,Ségou,0,0,0,266,699,290974,91.42,240.23,0.03,Data-Limited,Conflict-only
Tin-Essako,Kidal,0,0,0,9,12,9887,91.03,121.37,0.026,Data-Limited,Conflict-only
Niafunké,Tombouctou,0,0,0,130,398,216239,60.12,184.06,0.021,Data-Limited,Conflict-only
Goundam,Tombouctou,0,0,0,130,161,186519,69.7,86.32,0.019,Data-Limited,Conflict-only
Ténenkou,Mopti,6,0,0.0,100,336,200810,49.8,167.32,0.018,Low,Partial
Tominian,Ségou,0,0,0,87,210,272550,31.92,77.05,0.01,Data-Limited,Conflict-only
Diéma,Kayes,0,0,0,37,65,261017,14.18,24.9,0.004,Data-Limited,Conflict-only
Ségou,Ségou,0,0,0,120,275,857987,13.99,32.05,0.004,Data-Limited,Conflict-only
Kangaba,Koulikoro,0,0,0,13,32,123744,10.51,25.86,0.003,Data-Limited,Conflict-only
Kolokani,Koulikoro,0,0,0,25,75,286565,8.72,26.17,0.003,Data-Limited,Conflict-only
Yanfolila,Sikasso,0,0,0,28,12,262182,10.68,4.58,0.003,Data-Limited,Conflict-only
Nioro,Kayes,0,0,0,18,24,282160,6.38,8.51,0.002,Data-Limited,Conflict-only
Bamako,Bamako,0,0,0,42,114,2231344,1.88,5.11,0.001,Data-Limited,Conflict-only
Baraouéli,Ségou,0,0,0,9,16,250040,3.6,6.4,0.001,Data-Limited,Conflict-only
Bougouni,Sikasso,0,0,0,15,11,565175,2.65,1.95,0.001,Data-Limited,Conflict-only
Dioila,Koulikoro,0,0,0,13,17,602633,2.16,2.82,0.001,Data-Limited,Conflict-only
Kéniéba,Kayes,0,0,0,10,21,242871,4.12,8.65,0.001,Data-Limited,Conflict-only
Kolondieba,Sikasso,0,0,0,5,5,248309,2.01,2.01,0.001,Data-Limited,Conflict-only
Yélimané,Kayes,0,0,0,7,12,217564,3.22,5.52,0.001,Data-Limited,Conflict-only
