cercle,region,lat,lng,edi,risk,coverage,total_schools,closed_schools,pct_closed,total_conflict_events,events_per_100k,fatalities,fatalities_per_100k,population
Ménaka,Gao,15.92,2.4,0.557,Critical,Full,10,8,80.0,289,430.58,1039,1548.0,67119
Tombouctou,Tombouctou,16.77,-3.0,0.532,Critical,Full,11,11,100.0,186,118.52,203,129.35,156936
Bourem,Gao,18.97,0.36,0.522,Critical,Partial,4,4,100.0,89,62.06,296,206.39,143418
Bankass,Mopti,14.08,-3.52,0.519,Critical,Full,30,29,96.67,313,95.91,1170,358.52,326346
Ansongo,Gao,15.67,0.5,0.516,Critical,Partial,5,4,80.0,508,312.35,1905,1171.32,162637
Djenné,Mopti,13.91,-4.56,0.509,High,Full,33,31,93.94,274,106.67,1040,404.86,256877
Youwarou,Mopti,15.25,-4.18,0.509,High,Partial,7,7,100.0,37,27.66,97,72.52,133759
Diré,Tombouctou,16.27,-3.4,0.508,High,Partial,9,9,100.0,35,25.9,56,41.43,135161
Yorosso,Sikasso,12.37,-4.78,0.506,High,Partial,7,7,100.0,65,24.92,38,14.57,260812
Banamba,Koulikoro,13.55,-7.45,0.505,Data-Limited,Limited,2,2,100.0,28,11.89,139,59.04,235421
Koutiala,Sikasso,12.39,-5.47,0.503,High,Full,28,28,100.0,52,7.27,278,38.86,715430
Bafoulabe,Kayes,13.81,-10.83,0.501,Data-Limited,Limited,2,2,100.0,16,5.56,5,1.74,287979
Bla,Ségou,13.48,-5.77,0.501,High,Partial,5,5,100.0,13,3.72,2,0.57,349644
Kayes,Kayes,14.45,-11.44,0.501,Data-Limited,Limited,1,1,100.0,16,2.53,20,3.16,632503
Sikasso,Sikasso,11.33,-5.67,0.501,High,Partial,6,6,100.0,39,4.31,38,4.19,905895
Abeibara,Kidal,19.0,2.0,0.5,High,Conflict-only,0,0,0,136,1071.71,868,6840.03,12690
Koro,Mopti,14.08,-3.08,0.489,High,Full,191,180,94.24,262,58.63,563,125.98,446902
Koulikoro,Koulikoro,12.86,-7.56,0.489,High,Full,42,41,97.62,9,3.47,4,1.54,259586
Kita,Kayes,13.03,-9.49,0.451,High,Full,10,9,90.0,25,4.69,35,6.57,533110
Douentza,Mopti,15.0,-2.95,0.447,High,Full,14,11,78.57,466,153.3,1520,500.04,303974
San,Ségou,13.3,-4.9,0.444,High,Full,494,436,88.26,33,8.03,58,14.11,411190
Kadiolo,Sikasso,10.57,-5.7,0.409,High,Full,11,9,81.82,2,0.67,0,0.0,300013
Bandiagara,Mopti,14.35,-3.61,0.383,Medium,Partial,3,2,66.67,591,152.97,1526,394.98,386346
Nara,Koulikoro,15.17,-7.28,0.318,Medium,Full,1735,1034,59.6,162,54.33,629,210.96,298156
Gao,Gao,16.27,-0.04,0.308,Medium,Full,1813,947,52.23,442,149.71,986,333.97,295236
Kati,Koulikoro,12.75,-8.07,0.301,Medium,Full,10,6,60.0,27,2.29,22,1.87,1179233
Mopti,Mopti,14.49,-4.19,0.273,Data-Limited,Limited,2,1,50.0,336,73.9,761,167.37,454689
Tessalit,Kidal,20.2,0.98,0.154,Low,Conflict-only,0,0,0,111,564.45,118,600.05,19665
Kidal,Kidal,18.44,1.41,0.125,Low,Conflict-only,0,0,0,182,441.23,248,601.24,41248
Niono,Ségou,14.25,-5.98,0.038,Low,Conflict-only,0,0,0,510,113.4,1360,302.41,449717
Gourma-Rharous,Tombouctou,16.88,-1.93,0.037,Low,Conflict-only,0,0,0,153,111.8,422,308.36,136852
Macina,Ségou,14.11,-5.35,0.03,Data-Limited,Conflict-only,0,0,0,266,91.42,699,240.23,290974
Tin-Essako,Kidal,19.47,2.47,0.026,Data-Limited,Conflict-only,0,0,0,9,91.03,12,121.37,9887
Niafunké,Tombouctou,15.93,-3.98,0.021,Data-Limited,Conflict-only,0,0,0,130,60.12,398,184.06,216239
Goundam,Tombouctou,16.41,-3.67,0.019,Data-Limited,Conflict-only,0,0,0,130,69.7,161,86.32,186519
Ténenkou,Mopti,14.52,-4.92,0.018,Low,Partial,6,0,0.0,100,49.8,336,167.32,200810
Tominian,Ségou,13.28,-4.58,0.01,Data-Limited,Conflict-only,0,0,0,87,31.92,210,77.05,272550
Diéma,Kayes,14.53,-9.18,0.004,Data-Limited,Conflict-only,0,0,0,37,14.18,65,24.9,261017
Ségou,Ségou,13.45,-6.27,0.004,Data-Limited,Conflict-only,0,0,0,120,13.99,275,32.05,857987
Kangaba,Koulikoro,11.93,-8.42,0.003,Data-Limited,Conflict-only,0,0,0,13,10.51,32,25.86,123744
Kolokani,Koulikoro,13.55,-8.03,0.003,Data-Limited,Conflict-only,0,0,0,25,8.72,75,26.17,286565
Yanfolila,Sikasso,11.18,-8.15,0.003,Data-Limited,Conflict-only,0,0,0,28,10.68,12,4.58,262182
Nioro,Kayes,15.23,-9.58,0.002,Data-Limited,Conflict-only,0,0,0,18,6.38,24,8.51,282160
Bamako,Bamako,12.65,-8.0,0.001,Data-Limited,Conflict-only,0,0,0,42,1.88,114,5.11,2231344
Baraouéli,Ségou,13.37,-6.9,0.001,Data-Limited,Conflict-only,0,0,0,9,3.6,16,6.4,250040
Bougouni,Sikasso,11.42,-7.48,0.001,Data-Limited,Conflict-only,0,0,0,15,2.65,11,1.95,565175
Dioila,Koulikoro,12.7,-6.8,0.001,Data-Limited,Conflict-only,0,0,0,13,2.16,17,2.82,602633
Kéniéba,Kayes,12.83,-11.23,0.001,Data-Limited,Conflict-only,0,0,0,10,4.12,21,8.65,242871
Kolondieba,Sikasso,11.08,-6.88,0.001,Data-Limited,Conflict-only,0,0,0,5,2.01,5,2.01,248309
Yélimané,Kayes,15.13,-10.57,0.001,Data-Limited,Conflict-only,0,0,0,7,3.22,12,5.52,217564
