cercle,region,lat,lng,edi,risk,coverage,total_schools,closed_schools,pct_closed,total_conflict_events,events_per_100k,fatalities,fatalities_per_100k,population
Ménaka,Gao,15.92,2.4,0.537,Critical,Full,10,8,80.0,204,303.94,893,1330.47,67119
Tombouctou,Tombouctou,16.77,-3.0,0.53,Critical,Full,11,11,100.0,142,90.48,175,111.51,156936
Bourem,Gao,18.97,0.36,0.517,Critical,Partial,4,4,100.0,57,39.74,223,155.49,143418
Bankass,Mopti,14.08,-3.52,0.514,Critical,Full,30,29,96.67,236,72.32,857,262.6,326346
Diré,Tombouctou,16.27,-3.4,0.506,Critical,Partial,9,9,100.0,23,17.02,52,38.47,135161
Youwarou,Mopti,15.25,-4.18,0.506,High,Partial,7,7,100.0,21,15.7,45,33.64,133759
Banamba,Koulikoro,13.55,-7.45,0.505,Data-Limited,Limited,2,2,100.0,24,10.19,121,51.4,235421
Yorosso,Sikasso,12.37,-4.78,0.504,High,Partial,7,7,100.0,38,14.57,21,8.05,260812
Djenné,Mopti,13.91,-4.56,0.503,High,Full,33,31,93.94,186,72.41,832,323.89,256877
Koutiala,Sikasso,12.39,-5.47,0.503,High,Full,28,28,100.0,41,5.73,266,37.18,715430
Bafoulabe,Kayes,13.81,-10.83,0.501,Data-Limited,Limited,2,2,100.0,8,2.78,3,1.04,287979
Bla,Ségou,13.48,-5.77,0.501,High,Partial,5,5,100.0,10,2.86,1,0.29,349644
Kayes,Kayes,14.45,-11.44,0.501,Data-Limited,Limited,1,1,100.0,13,2.06,20,3.16,632503
Sikasso,Sikasso,11.33,-5.67,0.501,High,Partial,6,6,100.0,26,2.87,33,3.64,905895
Abeibara,Kidal,19.0,2.0,0.5,High,Conflict-only,0,0,0,114,898.35,808,6367.22,12690
Koulikoro,Koulikoro,12.86,-7.56,0.489,High,Full,42,41,97.62,8,3.08,4,1.54,259586
Ansongo,Gao,15.67,0.5,0.485,High,Partial,5,4,80.0,314,193.07,1311,806.09,162637
Koro,Mopti,14.08,-3.08,0.477,High,Full,191,180,94.24,72,16.11,188,42.07,446902
Kita,Kayes,13.03,-9.49,0.451,High,Full,10,9,90.0,20,3.75,31,5.81,533110
San,Ségou,13.3,-4.9,0.443,High,Full,494,436,88.26,21,5.11,32,7.78,411190
Douentza,Mopti,15.0,-2.95,0.426,High,Full,14,11,78.57,239,78.63,882,290.16,303974
Kadiolo,Sikasso,10.57,-5.7,0.409,High,Full,11,9,81.82,1,0.33,0,0.0,300013
Bandiagara,Mopti,14.35,-3.61,0.371,Medium,Partial,3,2,66.67,380,98.36,990,256.25,386346
Nara,Koulikoro,15.17,-7.28,0.319,Medium,Full,1735,1034,59.6,141,47.29,575,192.85,298156
Kati,Koulikoro,12.75,-8.07,0.301,Medium,Full,10,6,60.0,23,1.95,20,1.7,1179233
Gao,Gao,16.27,-0.04,0.3,Medium,Full,1813,947,52.23,315,106.69,690,233.71,295236
Mopti,Mopti,14.49,-4.19,0.269,Data-Limited,Limited,2,1,50.0,237,52.12,480,105.57,454689
Kidal,Kidal,18.44,1.41,0.122,Low,Conflict-only,0,0,0,146,353.96,242,586.7,41248
Tessalit,Kidal,20.2,0.98,0.11,Low,Conflict-only,0,0,0,70,355.96,54,274.6,19665
Macina,Ségou,14.11,-5.35,0.032,Data-Limited,Conflict-only,0,0,0,242,83.17,662,227.51,290974
Niono,Ségou,14.25,-5.98,0.03,Data-Limited,Conflict-only,0,0,0,345,76.71,976,217.03,449717
Tin-Essako,Kidal,19.47,2.47,0.03,Data-Limited,Conflict-only,0,0,0,9,91.03,12,121.37,9887
Niafunké,Tombouctou,15.93,-3.98,0.022,Data-Limited,Conflict-only,0,0,0,114,52.72,378,174.81,216239
Gourma-Rharous,Tombouctou,16.88,-1.93,0.02,Data-Limited,Conflict-only,0,0,0,75,54.8,154,112.53,136852
Goundam,Tombouctou,16.41,-3.67,0.019,Data-Limited,Conflict-only,0,0,0,108,57.9,142,76.13,186519
Ténenkou,Mopti,14.52,-4.92,0.017,Low,Partial,6,0,0.0,83,41.33,281,139.93,200810
Tominian,Ségou,13.28,-4.58,0.01,Data-Limited,Conflict-only,0,0,0,75,27.52,187,68.61,272550
Diéma,Kayes,14.53,-9.18,0.004,Data-Limited,Conflict-only,0,0,0,29,11.11,51,19.54,261017
Ségou,Ségou,13.45,-6.27,0.004,Data-Limited,Conflict-only,0,0,0,91,10.61,226,26.34,857987
Kangaba,Koulikoro,11.93,-8.42,0.003,Data-Limited,Conflict-only,0,0,0,12,9.7,24,19.39,123744
Kolokani,Koulikoro,13.55,-8.03,0.003,Data-Limited,Conflict-only,0,0,0,23,8.03,72,25.13,286565
Yanfolila,Sikasso,11.18,-8.15,0.003,Data-Limited,Conflict-only,0,0,0,24,9.15,6,2.29,262182
Bamako,Bamako,12.65,-8.0,0.001,Data-Limited,Conflict-only,0,0,0,28,1.25,98,4.39,2231344
Baraouéli,Ségou,13.37,-6.9,0.001,Data-Limited,Conflict-only,0,0,0,6,2.4,12,4.8,250040
Kéniéba,Kayes,12.83,-11.23,0.001,Data-Limited,Conflict-only,0,0,0,6,2.47,17,7.0,242871
Kolondieba,Sikasso,11.08,-6.88,0.001,Data-Limited,Conflict-only,0,0,0,4,1.61,5,2.01,248309
Nioro,Kayes,15.23,-9.58,0.001,Data-Limited,Conflict-only,0,0,0,12,4.25,19,6.73,282160
Yélimané,Kayes,15.13,-10.57,0.001,Data-Limited,Conflict-only,0,0,0,6,2.76,9,4.14,217564
Bougouni,Sikasso,11.42,-7.48,0.0,Data-Limited,Conflict-only,0,0,0,9,1.59,3,0.53,565175
Dioila,Koulikoro,12.7,-6.8,0.0,Data-Limited,Conflict-only,0,0,0,9,1.49,13,2.16,602633
